PLEDGE_STDIO,clock_getres(),clock_gettime(),close(),closefrom(),dup(),dup2(),dup3(),fchdir(),fcntl(),fstat(),fsync(),ftruncate(),getdents(),getdtablecount(),getegid(),getentropy(),geteuid(),getgid(),getgroups(),getitimer(),getlogin(),getpgid(),getpgrp(),getpid(),getppid(),getresgid(),getresuid(),getrlimit(),getrtable(),getsid(),getthrid(),gettimeofday(),getuid(),issetugid(),kevent(),kqueue(),lseek(),madvise(),minherit(),mmap(),mprotect(),mquery(),munmap(),nanosleep(),pipe(),pipe2(),poll(),pread(),preadv(),pwrite(),pwritev(),read(),readv(),recvfrom(),recvmsg(),select(),sendmsg(),sendsyslog(),sendto(),setitimer(),shutdown(),sigaction(),sigprocmask(),sigreturn(),socketpair(),umask(),wait4(),write(),writev()
PLEDGE_RPATH,chdir(),getcwd(),openat(),fstatat(),faccessat(),readlinkat(),lstat(),chmod(),fchmod(),fchmodat(),chflags(),chflagsat(),chown(),fchown(),fchownat(),fstat(),getfsstat()
PLEDGE_WPATH,getcwd(),openat(),fstatat(),faccessat(),readlinkat(),lstat(),chmod(),fchmod(),fchmodat(),chflags(),chflagsat(),chown(),fchown(),fchownat(),fstat()
PLEDGE_CPATH,rename(),renameat(),link(),linkat(),symlink(),symlinkat(),unlink(),unlinkat(),mkdir(),mkdirat(),rmdir()
PLEDGE_DPATH,mkfifo(),mknod()
PLEDGE_TMPPATH,lstat(),chmod(),chflags(),chown(),unlink(),fstat()
PLEDGE_INET,socket(),listen(),bind(),connect(),accept4(),accept(),getpeername(),getsockname(),setsockopt(),getsockopt()
PLEDGE_MCAST,setsockopt()
PLEDGE_FATTR,utimes(),futimes(),utimensat(),futimens(),chmod(),fchmod(),fchmodat(),chflags(),chflagsat(),chown(),fchownat(),lchown(),fchown(),utimes()
PLEDGE_CHOWN,chown()
PLEDGE_FLOCK,fcntl(),flock(),lockf(),open()
PLEDGE_UNIX,socket(),listen(),bind(),connect(),accept4(),accept(),getpeername(),getsockname(),setsockopt(),getsockopt()
PLEDGE_DNS,sendto(),recvfrom(),socket(),connect()
PLEDGE_GETPW,getpwnam(),getpwuid(),getpwnam_r(),getpwuid_r(),getpwnam_shadow(),getpwuid_shadow(),setpassent(),getgrent(),getgrnam(),getgrnam_r(),getgrgid(),getgrgid_r(),setgroupent(),setgrent(),endgrent(),getgrouplist(),initgroups()
PLEDGE_SENDFD,sendmsg()
PLEDGE_RECVFD,recvmsg()
PLEDGE_TAPE,MTIOCGET,MTIOCTOP
PLEDGE_TTY,ioctl()
PLEDGE_PROC,fork(),vfork(),kill(),getpriority(),setpriority(),setrlimit(),setpgid(),setsid()
PLEDGE_EXEC,execve()
PLEDGE_PROT_EXEC,mmap(),mprotect()
PLEDGE_SETTIME,settimeofday(),adjtime(),adjfreq()
PLEDGE_PS,sysctl()
PLEDGE_VMINFO,sysctl()
PLEDGE_ID,setuid(),seteuid(),setreuid(),setresuid(),setgid(),setegid(),setregid(),setresgid(),setgroups(),setlogin(),setrlimit(),getpriority(),setpriority()
PLEDGE_PF,ioctl(),pf()
PLEDGE_AUDIO,ioctl()
PLEDGE_BPF,bpf()
